Sno,Bank Name,Branch Name,IFSC Code
1,Punjab National Bank, AGRA,PUNB0137210
2,State Bank of India,BICHPURI,SBIN0002317
3,PUNJAB NATIONAL BANK,ALLAHABAD,PUNB0036900
4,State Bank of India, LUCKNOW,SBIN0004619
5,BANK OF MAHARASHTRA,JHANSI,MAHB0001428
6,State Bank of India,FATEHPUR ,SBIN0011506
7,IDBI BANK,AGRA,IBKL0000080
8,Bank of Baroda,LALITPUR,BARB0LALITP
9,State Bank of India,TALBEHAT,SBIN0012834
10,Punjab National Bank,AGRA,PUNB0089910
11,HDFC Bank,NEW DELHI ,HDFC0000708
12,State Bank of India,NANAUTI,SBIN0009032
13,State Bank of India,HASARI,SBIN0018946
14,State Bank of India,SULTANPUR,SBIN0000188
15,Canara Bank,FATEHPUR SIKHRI,CNRB0001438
16,State Bank of India, MORENA,SBIN0061546
17,State Bank of India,KAGAROLE,SBIN0005960
18,State Bank of India, LALITPUR,SBIN0016835
19,State Bank of India,SABZI MANDI,SBIN0007062
20,State Bank of India,AGRA ,SBIN0016122
21,State Bank of India,JAGNER,SBIN0002363
22,Canara Bank, FIROZABAD,CNRB0002167
23,State Bank of India,DABARAI,SBIN0004052
24,CENTRAL BANK OF INDIA,FAVARA,CBIN0280235
25,Bank of Baroda,BHARATPUR ,BARB0BHABHA
26,Canara Bank,AGRA,CNRB0002946
27,BANK OF MAHARASHTRA, GWALIOR,MAHB0001226
28,State Bank of India,SABALGARH,SBIN0001471
29,HDFC Bank,TEKARI CHAMBERS,HDFC0001267
30,Bank of Baroda, AGRA,BARB0EXTSAN
31,Bank of Baroda,SANJAY PLACE ,BARB0SANJAY
32,CENTRAL BANK OF INDIA,AGRA CANTT ,CBIN0280238
33,CENTRAL BANK OF INDIA,SADAR BAZAR,CBIN0281892
34,Canara Bank,BAROLI ,CNRB0001377
35,State Bank of India,RATANLAL NAGAR,SBIN0007646
36,State Bank of India, BHOPAL,SBIN0061091
37,Bank of Baroda,MANTOWN ,BARB0MANTOW
38,State Bank of India,NAGAR BAZAR,SBIN0006331
39,State Bank of India,ATTARA,SBIN0002509
40,Bank of Baroda,"AGRA,UP",BARB0TRANSY
41,Bank Of India,AGRA,BKID0007266
42,State Bank of India, AGRA,SBIN0017684
43,State Bank of India,BAH,SBIN0001212
44,Uttar Pradesh Gramin Bank,Uttar Pradesh,BARB0BUPGBX
45,PUNJAB NATIONAL BANK, FIROZABAD,PUNB0017300
46,Punjab Bank of India,MAHOBA ,PUNB0479700
47,State Bank of India,BAH,SBIN0001212
48,State Bank of India,FATEHPUR SIKHRI,SBIN0011506
49,State Bank of India,VARANASI,SBIN0000201
50,State Bank of India,GURSARAI,SBIN0010894
51,State Bank of India,CHAINPUR,SBIN0003360
52,State Bank of India,AWAGARH,SBIN0002511
53,Bank of Baroda,JHANSI,BARB0SIPRIB
54,Bank of Baroda,DHOLPUR ,BARB0DHOLPU
55,PUNJAB NATIONAL BANK,JHANSI (UP),PUNB0316900
56,Canara Bank,SHIKOHABAD,CNRB0003287
57,PUNJAB NATIONAL BANK,ETAH,PUNB0156910
58,State Bank of India,SHIKARPUR,SBIN0012983
59,State Bank of India, JASWANT NAGAR,SBIN0017225
60,Bank Of India,BANDA,BKID0006979
61,CENTRAL BANK OF INDIA, GHAZIABAD,CBIN0280257
62,UNION BANK OF INDIA,NEHRU NAGAR,UBIN0563137
63,State Bank of India, ALIGARH,SBIN0016273
64,State Bank of India,AGRA,SBIN0030159
65,HDFC Bank,BUDAUN,HDFC0002620
66,Indian Bank,HATHRAS,IDIB000P501
67,HDFC Bank,JANAKPURI,HDFC0000129
68,State Bank of India,ADB DIBAI,SBIN0004942
69,INDIAN BANK,MORADABAD ,IDIB000M744
70,Bank of Baroda, ALIGARH,BARB0RAMGHA
71,State Bank of India,KAURIA GANJ,SBIN0011640
72,Bank Of India,ALIGARH,BKID0007750
73,Bank Of India,MAGARWARA,BKID0007308
74,UNION BANK OF INDIA,ALIGANJ,UBIN0556891
75,State Bank of India,JOYA,SBIN0007413
76,UNION BANK OF INDIA, AZAMGARH,UBIN0549479
77,State Bank of India,ALIGARH,SBIN0015368
78,State Bank of India, HARDUAGANJ,SBIN0004944
79,State Bank of India,ALIGARH ,SBIN0000604
